eV	CPS	eV	CPS
21.89	4152	0.91	83.04
21.9	4038	0.9	80.76
21.91	4166	0.89	83.32
21.92	4329	0.88	86.58
21.93	4605	0.87	92.1
21.94	4993	0.86	99.86
21.95	5311	0.85	106.22
21.96	5431	0.84	108.62
21.97	5337	0.83	106.74
21.98	5622	0.82	112.44
21.99	5536	0.81	110.72
22	6298	0.8	125.96
22.01	6008	0.79	120.16
22.02	6496	0.78	129.92
22.03	6435	0.77	128.7
22.04	6975	0.76	139.5
22.05	6153	0.75	123.06
22.06	6677	0.74	133.54
22.07	7518	0.73	150.36
22.08	7548	0.72	150.96
22.09	7901	0.71	158.02
22.1	7399	0.7	147.98
22.11	8195	0.69	163.9
22.12	8186	0.68	163.72
22.13	9465	0.67	189.3
22.14	8976	0.66	179.52
22.15	9682	0.65	193.64
22.16	9695	0.64	193.9
22.17	11045	0.63	220.9
22.18	10871	0.62	217.42
22.19	11887	0.61	237.74
22.2	12005	0.6	240.1
22.21	12294	0.59	245.88
22.22	13336	0.58	266.72
22.23	14835	0.57	296.7
22.24	15501	0.56	310.02
22.25	16965	0.55	339.3
22.26	18577	0.54	371.54
22.27	20229	0.53	404.58
22.28	22639	0.52	452.78
22.29	22661	0.51	453.22
22.3	24947	0.5	498.94
22.31	28281	0.49	565.62
22.32	30428	0.48	608.56
22.33	32891	0.47	657.82
22.34	35549	0.46	710.98
22.35	38194	0.45	763.88
22.36	42662	0.44	853.24
22.37	47875	0.43	957.5
22.38	51345	0.42	1026.9
22.39	56454	0.41	1129.08
22.4	60236	0.4	1204.72
22.41	64345	0.39	1286.9
22.42	75167	0.38	1503.34
22.43	82330	0.37	1646.6
22.44	91373	0.36	1827.46
22.45	101400	0.35	2028
22.46	114755	0.34	2295.1
22.47	128990	0.33	2579.8
22.48	142699	0.32	2853.98
22.49	158517	0.31	3170.34
22.5	176251	0.3	3525.02
22.51	198861	0.29	3977.22
22.52	225660	0.28	4513.2
22.53	255457	0.27	5109.14
22.54	295948	0.26	5918.96
22.55	343419	0.25	6868.38
22.56	393508	0.24	7870.16
22.57	460052	0.23	9201.04
22.58	539343	0.22	10786.86
22.59	620500	0.21	12410
